molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,SMILES
CHEMBL59977,5.52,IC50,nM,3019.95,Log IC50,,-5.52,Nc1c2c(nc3ccc([N+](=O)[O-])cc13)CCCC2
CHEMBL61533,7.06,IC50,nM,87.1,Log IC50,,-7.06,Nc1c2c(nc3cc(F)ccc13)CCCC2
CHEMBL1161714,7.54,IC50,nM,28.84,Log IC50,,-7.54,Nc1c2c(nc3cccc(F)c13)C1CC(C2)C1
CHEMBL61486,5.42,IC50,nM,3801.89,Log IC50,,-5.42,Nc1ccc2nc3c(c(N)c2c1)CCCC3
CHEMBL302842,6.46,IC50,nM,346.74,Log IC50,,-6.46,COc1ccc2c(N)c3c(nc2c1)CCCC3
CHEMBL61930,6.33,IC50,nM,467.74,Log IC50,,-6.33,Nc1c2c(nc3cc(Cl)c(Cl)cc13)CCCC2
CHEMBL61929,5.28,IC50,nM,5248.07,Log IC50,,-5.28,COc1cc2nc3c(c(N)c2cc1OC)CCCC3
CHEMBL1161715,6.79,IC50,nM,162.18,Log IC50,,-6.79,Nc1c2c(nc3ccc(O)cc13)CCCC2
CHEMBL431844,7.5,IC50,nM,31.62,Log IC50,,-7.5,Nc1c2c(nc3ccccc13)C1CCC2C1
CHEMBL355740,7.07,IC50,nM,85.11,Log IC50,,-7.07,Nc1c2c(nc3c(Cl)cccc13)C1CCC2C1
CHEMBL352500,8.35,IC50,nM,4.467,Log IC50,,-8.35,Nc1c2c(nc3cc(Cl)ccc13)C1CCC2C1
CHEMBL172118,5.96,IC50,nM,1096.48,Log IC50,,-5.96,Nc1c2c(nc3ccc(Cl)cc13)C1CCC2C1
CHEMBL368196,7.37,IC50,nM,42.66,Log IC50,,-7.37,Nc1c2c(nc3cccc(Cl)c13)C1CCC2C1
CHEMBL140476,9.49,IC50,nM,0.3236,Log IC50,,-9.49,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
CHEMBL341658,8.68,IC50,nM,2.089,Log IC50,,-8.68,CCC1=CC2Cc3nc4cc(F)ccc4c(N)c3C(C1)C2
CHEMBL143812,9.49,IC50,nM,0.3236,Log IC50,,-9.49,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
CHEMBL1161719,5.43,IC50,nM,3715.35,Log IC50,,-5.43,C=C1c2ccccc2N=C2CCCCCN12
CHEMBL1161720,5.82,IC50,nM,1513.56,Log IC50,,-5.82,C=C1c2cccc(Cl)c2N=C2CCCCCN12
CHEMBL1161717,6.8,IC50,nM,158.49,Log IC50,,-6.8,C=C1c2ccc(Cl)cc2N=C2CCCCCN12
CHEMBL1161718,6.3,IC50,nM,501.19,Log IC50,,-6.3,C=C1c2cc(Cl)ccc2N=C2CCCCCN12
CHEMBL1161716,5.77,IC50,nM,1698.24,Log IC50,,-5.77,C=C1c2c(Cl)cccc2N=C2CCCCCN12
CHEMBL132030,7.1,IC50,nM,79.43,Log IC50,,-7.1,Nc1c2c(nc3cccc(F)c13)CCCC2
CHEMBL132260,6.58,IC50,nM,263.03,Log IC50,,-6.58,Nc1c2c(nc3ccccc13)OCCC2
CHEMBL132365,6.21,IC50,nM,616.6,Log IC50,,-6.21,COc1cccc2nc3c(c(N)c12)CCCC3
CHEMBL134240,5,IC50,nM,10000,Log IC50,,-5,Nc1c2c(nc3ccc(Cl)cc13)OCCC2
CHEMBL133441,5.2,IC50,nM,6309.57,Log IC50,,-5.2,Nc1c2c(nc3ncccc13)OCCC2
CHEMBL130373,4.38,IC50,nM,41686.94,Log IC50,,-4.38,Nc1c2c(nc3cnccc13)OCCC2
CHEMBL92460,7.26,IC50,nM,55,IC50,nM,55,c1ccc(CN2CCC(CCc3noc4ccccc34)CC2)cc1
CHEMBL92460,7.26,Ki,nM,54.95,Log Ki,,-7.26,c1ccc(CN2CCC(CCc3noc4ccccc34)CC2)cc1
CHEMBL433379,8.11,IC50,nM,7.8,IC50,nM,7.8,Cc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1
CHEMBL433379,8.11,Ki,nM,7.762,Log Ki,,-8.11,Cc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1
CHEMBL188823,8.24,IC50,nM,5.8,IC50,nM,5.8,COc1cc2onc(CCC3CCN(Cc4ccccc4)CC3)c2cc1C
CHEMBL188823,8.24,Ki,nM,5.754,Log Ki,,-8.24,COc1cc2onc(CCC3CCN(Cc4ccccc4)CC3)c2cc1C
CHEMBL94186,8.14,IC50,nM,7.2,IC50,nM,7.2,COc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1
CHEMBL94186,8.14,Ki,nM,7.244,Log Ki,,-8.14,COc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1
CHEMBL93619,8.15,IC50,nM,7.1,IC50,nM,7.1,COc1cccc2c(CCC3CCN(Cc4ccccc4)CC3)noc12
CHEMBL93619,8.15,Ki,nM,7.079,Log Ki,,-8.15,COc1cccc2c(CCC3CCN(Cc4ccccc4)CC3)noc12
CHEMBL92736,8.55,IC50,nM,2.8,IC50,nM,2.8,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL92736,8.55,Ki,nM,2.818,Log Ki,,-8.55,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL92955,7.85,IC50,nM,14,IC50,nM,14,O=S(=O)(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1
CHEMBL92955,7.85,Ki,nM,14.13,Log Ki,,-7.85,O=S(=O)(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1
CHEMBL93936,9.1,IC50,nM,0.8,IC50,nM,0.8,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1
CHEMBL93936,9.1,Ki,nM,0.7943,Log Ki,,-9.1,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1
CHEMBL420625,7.7,IC50,nM,20,IC50,nM,20,Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL420625,7.7,Ki,nM,19.95,Log Ki,,-7.7,Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL330004,7.3,IC50,nM,50,IC50,nM,50,Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL330004,7.3,Ki,nM,50.12,Log Ki,,-7.3,Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL92775,7,IC50,nM,101,IC50,nM,101,N#Cc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL92775,7,Ki,nM,100,Log Ki,,-7,N#Cc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL92663,8.06,IC50,nM,8.8,IC50,nM,8.8,NC(=O)c1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL92663,8.06,Ki,nM,8.71,Log Ki,,-8.06,NC(=O)c1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL93241,8.05,IC50,nM,9,IC50,nM,9,c1ccc(CN2CCC(CCCc3noc4ccccc34)CC2)cc1
CHEMBL93241,6.05,Ki,nM,891.25,Log Ki,,-6.05,c1ccc(CN2CCC(CCCc3noc4ccccc34)CC2)cc1
CHEMBL94059,5.58,IC50,nM,2600,IC50,nM,2600,c1ccc(CN2CCC(COc3noc4ccccc34)CC2)cc1
CHEMBL94059,5.59,Ki,nM,2570.4,Log Ki,,-5.59,c1ccc(CN2CCC(COc3noc4ccccc34)CC2)cc1
CHEMBL92629,6.5,IC50,nM,320,IC50,nM,320,c1ccc(CN2CCC(CNc3noc4ccccc34)CC2)cc1
CHEMBL92629,6.49,Ki,nM,323.59,Log Ki,,-6.49,c1ccc(CN2CCC(CNc3noc4ccccc34)CC2)cc1
CHEMBL328102,7,IC50,nM,99,IC50,nM,99,c1ccc(CN2CCC(CCc3nsc4ccccc34)CC2)cc1
CHEMBL328102,7,Ki,nM,100,Log Ki,,-7,c1ccc(CN2CCC(CCc3nsc4ccccc34)CC2)cc1
CHEMBL92142,6.66,IC50,nM,220,IC50,nM,220,c1ccc(CN2CCC(CCc3nccc4ccccc34)CC2)cc1
CHEMBL92142,6.66,Ki,nM,218.78,Log Ki,,-6.66,c1ccc(CN2CCC(CCc3nccc4ccccc34)CC2)cc1
CHEMBL92958,6.92,IC50,nM,120,IC50,nM,120,c1ccc(CN2CCC(CCc3n[nH]c4ccccc34)CC2)cc1
CHEMBL92958,6.92,Ki,nM,120.23,Log Ki,,-6.92,c1ccc(CN2CCC(CCc3n[nH]c4ccccc34)CC2)cc1
CHEMBL329231,9.24,IC50,nM,0.57,IC50,nM,0.57,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
CHEMBL329231,9.24,Ki,nM,0.5754,Log Ki,,-9.24,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
CHEMBL328468,9.02,IC50,nM,0.95,IC50,nM,0.95,O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1
CHEMBL328468,9.02,Ki,nM,0.955,Log Ki,,-9.02,O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1
CHEMBL426441,9.32,IC50,nM,0.48,IC50,nM,0.48,CN1C(=O)Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc21
CHEMBL426441,9.32,Ki,nM,0.4786,Log Ki,,-9.32,CN1C(=O)Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc21
CHEMBL95020,8.44,IC50,nM,3.6,IC50,nM,3.6,O=C1Cc2c(ccc3c(CCC4CCN(Cc5ccccc5)CC4)noc23)N1
CHEMBL95020,8.44,Ki,nM,3.631,Log Ki,,-8.44,O=C1Cc2c(ccc3c(CCC4CCN(Cc5ccccc5)CC4)noc23)N1
CHEMBL185799,6.6,IC50,nM,250,IC50,nM,250,COc1cc2c(cc1OC)C(=O)C(C1CC[N+](C)(Cc3ccccc3)CC1)=C2
CHEMBL185799,6.6,Ki,nM,251.19,Log Ki,,-6.6,COc1cc2c(cc1OC)C(=O)C(C1CC[N+](C)(Cc3ccccc3)CC1)=C2
CHEMBL186144,8.1,IC50,nM,8,IC50,nM,8,COc1cc2cc(C(=O)C3CCC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL186144,8.1,Ki,nM,7.943,Log Ki,,-8.1,COc1cc2cc(C(=O)C3CCC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL361869,7.37,IC50,nM,43,IC50,nM,43,COc1cc2cc(C(=O)C3CC[N+](C)(Cc4ccccc4)CCC3O)sc2cc1OC
CHEMBL361869,7.37,Ki,nM,42.66,Log Ki,,-7.37,COc1cc2cc(C(=O)C3CC[N+](C)(Cc4ccccc4)CCC3O)sc2cc1OC
CHEMBL189283,6.42,IC50,nM,380,IC50,nM,380,COc1cc2cc(C(=O)CC3CCC(O)C[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL189283,6.42,Ki,nM,380.19,Log Ki,,-6.42,COc1cc2cc(C(=O)CC3CCC(O)C[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL362711,6.96,IC50,nM,110,IC50,nM,110,COc1cc2cc(C(=O)CC3CCCC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL362711,6.96,Ki,nM,109.65,Log Ki,,-6.96,COc1cc2cc(C(=O)CC3CCCC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL185976,6.92,IC50,nM,120,IC50,nM,120,COc1cc2cc(C(=O)C3CC[N+](C)(Cc4ccccc4)CCC3OC)sc2cc1OC
CHEMBL185976,6.92,Ki,nM,120.23,Log Ki,,-6.92,COc1cc2cc(C(=O)C3CC[N+](C)(Cc4ccccc4)CCC3OC)sc2cc1OC
CHEMBL188325,6.28,IC50,nM,520,IC50,nM,520,COc1cc2cc(C(=O)C3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL188325,6.28,Ki,nM,524.81,Log Ki,,-6.28,COc1cc2cc(C(=O)C3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL187812,4.71,IC50,nM,19580,IC50,nM,19580,COc1cc2cc(C3CC[N+](C)(Cc4ccccc4)CC3O)sc2cc1OC
CHEMBL187812,4.71,Ki,nM,19498.45,Log Ki,,-4.71,COc1cc2cc(C3CC[N+](C)(Cc4ccccc4)CC3O)sc2cc1OC
CHEMBL191729,5.57,IC50,nM,2670,IC50,nM,2670,COc1cc2cc(C3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL191729,5.57,Ki,nM,2691.53,Log Ki,,-5.57,COc1cc2cc(C3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
CHEMBL364125,7.28,IC50,nM,53,IC50,nM,53,COCC[N+]1(C)CCCC(C(=O)c2cc3cc(OC)c(OC)cc3s2)CC1
CHEMBL364125,7.28,Ki,nM,52.48,Log Ki,,-7.28,COCC[N+]1(C)CCCC(C(=O)c2cc3cc(OC)c(OC)cc3s2)CC1
CHEMBL610243,7.5,IC50,nM,32,IC50,nM,32,COc1cc2cc(C(=O)C3CCC[N+](C)(Cc4ccc([N+](=O)[O-])o4)CC3)sc2cc1OC.[I-]
CHEMBL610243,7.49,Ki,nM,32.36,Log Ki,,-7.49,COc1cc2cc(C(=O)C3CCC[N+](C)(Cc4ccc([N+](=O)[O-])o4)CC3)sc2cc1OC.[I-]
CHEMBL372491,7.55,IC50,nM,28,IC50,nM,28,COc1cc2cc(C(=O)C3CCC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC
CHEMBL372491,7.55,Ki,nM,28.18,Log Ki,,-7.55,COc1cc2cc(C(=O)C3CCC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC
CHEMBL364585,7.1,IC50,nM,79,IC50,nM,79,COc1cc2cc(C(=O)C3CCC[N+](C)(CC(=O)OC(C)(C)C)CC3)sc2cc1OC
CHEMBL364585,7.1,Ki,nM,79.43,Log Ki,,-7.1,COc1cc2cc(C(=O)C3CCC[N+](C)(CC(=O)OC(C)(C)C)CC3)sc2cc1OC
CHEMBL188917,6.41,IC50,nM,390,IC50,nM,390,COc1cc2cc(C(=O)C3CCC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC
CHEMBL188917,6.41,Ki,nM,389.05,Log Ki,,-6.41,COc1cc2cc(C(=O)C3CCC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC
CHEMBL188338,6,IC50,nM,1000,IC50,nM,1000,COc1cc2cc(C(=O)C3CCC[N+](C)(CC#N)CC3)sc2cc1OC
CHEMBL188338,6,Ki,nM,1000,Log Ki,,-6,COc1cc2cc(C(=O)C3CCC[N+](C)(CC#N)CC3)sc2cc1OC
CHEMBL366114,6.05,IC50,nM,900,IC50,nM,900,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](C)cc1)C2
CHEMBL366114,6.05,Ki,nM,891.25,Log Ki,,-6.05,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](C)cc1)C2
CHEMBL188753,6.55,IC50,nM,280,IC50,nM,280,CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL188753,6.55,Ki,nM,281.84,Log Ki,,-6.55,CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL189122,8.2,IC50,nM,6.27,IC50,nM,6.27,C=CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL189122,6.66,Ki,nM,218.78,Log Ki,,-6.66,C=CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL189517,6.96,IC50,nM,110,IC50,nM,110,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](CC3CC3)cc1)C2
CHEMBL189517,6.96,Ki,nM,109.65,Log Ki,,-6.96,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](CC3CC3)cc1)C2
CHEMBL365904,7.4,IC50,nM,40,IC50,nM,40,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](CC3CCC3)cc1)C2
CHEMBL365904,7.4,Ki,nM,39.81,Log Ki,,-7.4,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](CC3CCC3)cc1)C2
CHEMBL186264,8.15,IC50,nM,7,IC50,nM,7,CCOCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL186264,8.15,Ki,nM,7.079,Log Ki,,-8.15,CCOCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL187818,8.59,IC50,nM,2.6,IC50,nM,2.6,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccc(F)cc3)cc1)C2
CHEMBL187818,8.59,Ki,nM,2.57,Log Ki,,-8.59,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccc(F)cc3)cc1)C2
CHEMBL188011,6,IC50,nM,1000,IC50,nM,1000,COC(=O)c1ccc(C[n+]2ccc(CCC(=O)C3Cc4cc(OC)c(OC)cc4S3)cc2)cc1
CHEMBL188011,6,Ki,nM,1000,Log Ki,,-6,COC(=O)c1ccc(C[n+]2ccc(CCC(=O)C3Cc4cc(OC)c(OC)cc4S3)cc2)cc1
CHEMBL362752,8.22,IC50,nM,6,IC50,nM,6,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccsc3)cc1)C2
CHEMBL362752,8.22,Ki,nM,6.026,Log Ki,,-8.22,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccsc3)cc1)C2
CHEMBL610242,8.35,IC50,nM,4.5,IC50,nM,4.5,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3coc([N+](=O)[O-])c3)cc1)C2.[I-]
CHEMBL610242,8.35,Ki,nM,4.467,Log Ki,,-8.35,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3coc([N+](=O)[O-])c3)cc1)C2.[I-]
CHEMBL86031,7,IC50,nM,100,IC50,nM,100,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)OCCO3)CC1
CHEMBL86031,7,Ki,nM,100,Log Ki,,-7,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)OCCO3)CC1
CHEMBL313231,7.38,IC50,nM,41.5,IC50,nM,41.5,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)OCO3)CC1
CHEMBL313231,7.38,Ki,nM,41.69,Log Ki,,-7.38,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)OCO3)CC1
CHEMBL313582,6.86,IC50,nM,139,IC50,nM,139,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)CCCCO3)CC1
CHEMBL313582,6.86,Ki,nM,138.04,Log Ki,,-6.86,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)CCCCO3)CC1
CHEMBL87823,7.3,IC50,nM,50,IC50,nM,50,COc1ccc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)ccc2c1
CHEMBL87823,7.3,Ki,nM,50.12,Log Ki,,-7.3,COc1ccc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)ccc2c1
CHEMBL432376,6.92,IC50,nM,120,IC50,nM,120,COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)n(C)c2cc1OC
CHEMBL432376,6.92,Ki,nM,120.23,Log Ki,,-6.92,COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)n(C)c2cc1OC
CHEMBL87014,7.66,IC50,nM,22,IC50,nM,22,Cc1cc(C(=O)CCC2CC[N+](C)(Cc3ccccc3)CC2)nn1-c1ccccc1
CHEMBL87014,7.66,Ki,nM,21.88,Log Ki,,-7.66,Cc1cc(C(=O)CCC2CC[N+](C)(Cc3ccccc3)CC2)nn1-c1ccccc1
CHEMBL418955,8.08,IC50,nM,8.3,IC50,nM,8.3,COc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL418955,8.08,Ki,nM,8.318,Log Ki,,-8.08,COc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL93123,8.03,IC50,nM,9.4,IC50,nM,9.4,O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1
CHEMBL93123,8.03,Ki,nM,9.333,Log Ki,,-8.03,O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1
CHEMBL92463,7.58,IC50,nM,26,IC50,nM,26,Oc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL92463,7.59,Ki,nM,25.7,Log Ki,,-7.59,Oc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
CHEMBL92460,6.68,IC50,nM,210,IC50,nM,210,c1ccc(CN2CCC(CCc3noc4ccccc34)CC2)cc1
CHEMBL92460,6.68,Ki,nM,208.93,Log Ki,,-6.68,c1ccc(CN2CCC(CCc3noc4ccccc34)CC2)cc1
CHEMBL328715,6.09,IC50,nM,810,IC50,nM,810,c1ccc(CN2CCC(CCNc3noc4ccccc34)CC2)cc1
CHEMBL328715,6.09,Ki,nM,812.83,Log Ki,,-6.09,c1ccc(CN2CCC(CCNc3noc4ccccc34)CC2)cc1
CHEMBL362350,6.47,IC50,nM,340,IC50,nM,340,C=[N+]1N=C(CCC2CCN(Cc3ccccc3)CC2)c2ccccc21
CHEMBL362350,6.47,Ki,nM,338.84,Log Ki,,-6.47,C=[N+]1N=C(CCC2CCN(Cc3ccccc3)CC2)c2ccccc21
CHEMBL359570,9.48,IC50,nM,0.33,IC50,nM,0.33,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
CHEMBL359570,9.48,Ki,nM,0.3311,Log Ki,,-9.48,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
CHEMBL187603,6.72,IC50,nM,190,IC50,nM,190,COc1cc2c(cc1OC)SC(C(=O)CC(O)C1CC[N+](C)(Cc3ccccc3)CC1)C2
CHEMBL187603,6.72,Ki,nM,190.55,Log Ki,,-6.72,COc1cc2c(cc1OC)SC(C(=O)CC(O)C1CC[N+](C)(Cc3ccccc3)CC1)C2
CHEMBL360832,7.05,IC50,nM,90,IC50,nM,90,COc1cc2c(cc1OC)SC(C(=O)CC1(O)CC[N+](C)(Cc3ccccc3)CC1)C2
CHEMBL360832,7.05,Ki,nM,89.13,Log Ki,,-7.05,COc1cc2c(cc1OC)SC(C(=O)CC1(O)CC[N+](C)(Cc3ccccc3)CC1)C2
CHEMBL186090,6.12,IC50,nM,750,IC50,nM,750,COc1cc2c(cc1OC)SC(C(=O)CC1C=CC[N+](C)(Cc3ccccc3)CC1)C2
CHEMBL186090,6.12,Ki,nM,758.58,Log Ki,,-6.12,COc1cc2c(cc1OC)SC(C(=O)CC1C=CC[N+](C)(Cc3ccccc3)CC1)C2
CHEMBL187591,4.52,IC50,nM,30000,IC50,nM,30000,COc1cc2c(cc1OC)SC(CC1CC[N+](C)(Cc3ccccc3)CC1)C2
CHEMBL187591,4.52,Ki,nM,30199.52,Log Ki,,-4.52,COc1cc2c(cc1OC)SC(CC1CC[N+](C)(Cc3ccccc3)CC1)C2
CHEMBL188714,7.27,IC50,nM,54,IC50,nM,54,COC(=O)C[N+]1(C)CCC(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)CC1
CHEMBL188714,7.27,Ki,nM,53.7,Log Ki,,-7.27,COC(=O)C[N+]1(C)CCC(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)CC1
CHEMBL187330,5.59,IC50,nM,2570,IC50,nM,2570,CCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL187330,5.59,Ki,nM,2570.4,Log Ki,,-5.59,CCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL189774,7.52,IC50,nM,30,IC50,nM,30,COCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL189774,7.52,Ki,nM,30.2,Log Ki,,-7.52,COCC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1
CHEMBL186042,8.34,IC50,nM,4.6,IC50,nM,4.6,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccccc3)cc1)C2
CHEMBL186042,8.34,Ki,nM,4.571,Log Ki,,-8.34,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccccc3)cc1)C2
CHEMBL363455,6.62,IC50,nM,240,IC50,nM,240,O=C(CCc1cc[n+](Cc2ccccc2)cc1)c1ccc2c(c1)OCO2
CHEMBL363455,6.62,Ki,nM,239.88,Log Ki,,-6.62,O=C(CCc1cc[n+](Cc2ccccc2)cc1)c1ccc2c(c1)OCO2
CHEMBL636,5.81,IC50,nM,1535,IC50,nM,1535,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
CHEMBL188274,7,IC50,nM,100,IC50,nM,100,CNC(=O)Oc1cccc(C(C)N(C)C)c1.Cl
CHEMBL189906,7.52,IC50,nM,30,IC50,nM,30,CNC(=O)Oc1cccc2c1OCC1CCN(C)C21
CHEMBL189907,7.76,IC50,nM,17.3,IC50,nM,17.3,CNC(=O)Oc1cccc2c1CCC1CCN(C)C21
CHEMBL190322,8.09,IC50,nM,8.11,IC50,nM,8.11,CNC(=O)Oc1cccc2c1SCC1CCN(C)C21
CHEMBL371787,5.73,IC50,nM,1870,IC50,nM,1870,CC(NC(=O)Oc1cccc2c1OCC1CCN(C)C21)c1ccccc1
CHEMBL187870,7.69,IC50,nM,20.3,IC50,nM,20.3,CCCCCCCNC(=O)Oc1cccc2c1OCC1CCN(C)C21
CHEMBL187385,6.38,IC50,nM,420,IC50,nM,420,CCNC(=O)Oc1cccc2c1OCC1CCN(C)C21
CHEMBL363557,6.41,IC50,nM,393,IC50,nM,393,CCNC(=O)Oc1cccc2c1CCC1CCN(C)C21
CHEMBL189957,6.5,IC50,nM,320,IC50,uM,0.32,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
CHEMBL191416,5.52,IC50,nM,2990,IC50,uM,2.99,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(c2)O/C(=C\c2cc(OC)c(OC)c(OC)c2)C3=O)c1
CHEMBL190060,5.16,IC50,nM,6860,IC50,uM,6.86,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(c2)O/C(=C\c2cccc4ccccc24)C3=O)c1
CHEMBL191386,5.47,IC50,nM,3410,IC50,uM,3.41,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(c2)O/C(=C\c2ccc4ccccc4c2)C3=O)c1
CHEMBL190528,6.28,IC50,nM,520,IC50,uM,0.52,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)O/C(=C\c2cc(OC)c(OC)c(OC)c2)C3=O)c1
CHEMBL364545,5.56,IC50,nM,2760,IC50,uM,2.76,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)O/C(=C\c2cccc4ccccc24)C3=O)c1
